City,State,Cost
Tampa,FL,1.3
Orlando,FL,4.2
Austin,TX,9.1
San-Antonio,TX,-7.9
Charlotte,NC,3.5
Raleigh,NC,7.9
Columbus,OH,-3.8
Boston,MA,53.1
Portland,OR,25.4
Kansas-City,MO,-2.1
Pittsburgh,PA,-3.0
Sacramento,CA,17.4
San-Diego,CA,50.4
Dallas,TX,7.0
Tucson,AZ,-2.1
Seattle,WA,36.7
Minneapolis,MN,13.5
Denver,CO,19.6
Atlanta,GA,3.8
Salt-Lake-City,UT,7.4
Honolulu,HI,56.3
Miami,FL,15.4
Albuquerque,NM,-4.5
San-Jose,CA,78.0
Philadelphia,PA,14.4
Phoenix,AZ,7.7
Las-Vegas,NV,3.0
Houston,TX,-5.4
Chicago,IL,12.4
Washington,DC,45.2
San-Francisco,CA,86.5
New-York,NY,77.0
Los-Angeles,CA,44.3
