City,State,Recreation Total Score
Las Vegas,NV,61.43
Orlando,FL,59.59
Tampa,FL,56.97
Atlanta,GA,56.24
San Diego,CA,54.79
Honolulu,HI,53.75
Chicago,IL,52.34
Los Angeles,CA,51.66
Tucson,AZ,51.59
Sacramento,CA,51.31
Denver,CO,51.07
San Francisco,CA,50.98
Phoenix,AZ,50.37
Pittsburgh,PA,49.59
Minneapolis,MN,49.23
Albuquerque,NM,48.80
Philadelphia,PA,48.57
New York,NY,48.05
Kansas City,MO,47.40
Portland,OR,47.08
Austin,TX,46.85
San Antonio,TX,46.19
Washington,DC,45.99
Columbus,OH,44.89
Miami,FL,44.28
Houston,TX,44.20
Seattle,WA,43.89
Dallas,TX,43.29
Charlotte,NC,41.45
Boston,MA,41.07
San Jose,CA,40.22
Raleigh,NC,39.58
