City,State,Safety
Memphis,TN,23.7
Baltimore,MD,25.4
Detroit,MI,26.1
Albuquerque,NM,28.5
Saint Louis,MO,29.8
Milwaukee,WI,31.8
Oakland,CA,32.0
New Orleans,LA,32.8
Chicago,IL,34.1
Philadelphia,PA,34.2
Atlanta,GA,36.7
Houston,TX,36.8
San Francisco,CA,38.0
Washington,DC,39.2
Indianapolis,IN,41.3
Portland,OR,43.6
Minneapolis,MN,44.3
Las Vegas,NV,44.4
Seattle,WA,45.7
Tucson,AZ,45.9
Phoenix,AZ,46.6
Miami,FL,46.7
Los Angeles,CA,47.2
Dallas,TX,48.5
Columbus,OH,49.6
New York,NY,50.0
Sacramento,CA,50.1
Orlando,FL,50.6
San Antonio,TX,51.9
Honolulu,HI,52.6
Denver,CO,53.4
Tampa,FL,53.8
San Diego,CA,58.9
Boston,MA,59.1
Austin,TX,59.2
Boise,ID,64.6
Salt Lake City,UT,66.3
